"bin_extents","bin_values"
0.27,27
0.81,316
1.35,1338
1.89,3711
2.43,10688
2.97,23884
3.51,30129
4.05,29514
4.59,23240
5.13,14208
5.67,6064
6.21,2933
6.75,1509
7.29,1059
7.83,673
8.37,683
8.91,648
9.45,776
9.99,667
10.53,736
11.07,617
11.61,609
12.15,644
12.69,599
13.23,508
13.77,378
14.31,415
14.85,380
15.39,349
15.93,336
16.47,262
17.01,335
17.55,254
18.09,253
18.63,307
19.17,282
19.71,263
20.25,295
20.79,317
21.33,280
21.87,344
22.41,378
22.95,423
23.49,370
24.03,346
24.57,329
25.11,300
25.65,243
26.19,269
26.73,2081
