Num_of_iteration_steps	Average Ang. Dev.	Standard deviation	Reduction of average Ang. Dev.(%)	Red line
1	10.3197462492647	3.1004785671532		1
2	5.98073447170098	2.54122349473908	42.0457215977853	1
3	4.77755205324853	1.61195245793639	20.1176364566183	1
4	4.43013161870585	1.3695579820114	7.27193405054488	1
5	4.33491938330326	1.23365511789214	2.14919653855343	1
6	4.26905051076013	1.14836673156219	1.51949475224002	1
7	4.22651786808643	1.12753823266156	0.996302165235545	1
8	4.20970774083556	1.09996459480436	0.39772994638911	1
9	4.20592310772444	1.09713215090579	0.089902514476438	1
10	4.20551723482663	1.07470061629695	0.009650031334682	1
11	4.20511136192882	1.06315204496689	0.009650962655602	1
12	4.20452028077837	1.06123469184423	0.014056254390945	1
